Name,ID
Alaa Abdelnaby,76001
Zaid Abdul-Aziz,76002
Kareem Abdul-Jabbar,76003
Mahmoud Abdul-Rauf,51
Tariq Abdul-Wahad,1505
Shareef Abdur-Rahim,949
Tom Abernethy,76005
Forest Able,76006
John Abramovic,76007
Alex Abrines,203518
Precious Achiuwa,1630173
Alex Acker,101165
Donald Ackerman,76008
Mark Acres,76009
Charles Acton,76010
Quincy Acy,203112
Alvan Adams,76011
Don Adams,76012
Hassan Adams,200801
Jaylen Adams,1629121
Jordan Adams,203919
Michael Adams,149
Steven Adams,203500
Rafael Addison,912
Bam Adebayo,1628389
Deng Adel,1629061
Rick Adelman,76015
Jeff Adrien,202399
Arron Afflalo,201167
Ochai Agbaji,1630534
Maurice Ager,200772
Mark Aguirre,76016
Blake Ahearn,201336
Danny Ainge,76017
Alexis Ajinca,201582
Henry Akin,76018
Josh Akognon,203006
DeVaughn Akoon-Purcell,1629152
Solomon Alabi,202374
Mark Alarie,76019
Gary Alcorn,76020
Santi Aldama,1630583
Furkan Aldemir,203128
Cole Aldrich,202332
LaMarcus Aldridge,200746
Chuck Aleksinas,76021
Cliff Alexander,1626146
Cory Alexander,724
Courtney Alexander,2042
Gary Alexander,76022
Chris Babb,203569
Luke Babbitt,202337
Milos Babic,76079
Johnny Bach,76080
Dwayne Bacon,1628407
Ibou Badji,1630641
Jim Baechtold,76081
Dalibor Bagaric,2053
John Bagley,76082
Marvin Bagley III,1628963
Amari Bailey,1641735
Carl Bailey,76084
Gus Bailey,76083
James Bailey,76085
Thurl Bailey,1847
Toby Bailey,1753
Cameron Bairstow,203946
Mark Baker,1858
Maurice Baker,2486
Norm Baker,76089
Ron Baker,1627758
Vin Baker,452
Wade Baldwin IV,1627735
Patrick Baldwin Jr.,1631116
Renaldo Balkman,200764
Cedric Ball,76090
LaMelo Ball,1630163
Lonzo Ball,1628366
Greg Ballard,76091
Herschel Baltimore,76092
Mo Bamba,1628964
Paolo Banchero,1631094
Desmond Bane,1630217
Gene Banks,76093
Marcus Banks,2556
Ken Bannister,76094
Mike Bantom,76095
Dalano Banton,1630625
Cat Barber,1627760
John Barber,76096
Leandro Barbosa,2571
Stephen Bardo,76097
J.J. Barea,200826
Andrea Bargnani,200745
Cliff Barker,76098
Tom Barker,76099
Charles Barkley,787
Erick Barkley,2057
Don Barksdale,76102
Dominick Barlow,1631230
Zarko Cabarkapa,2560
Barney Cable,76324
Bruno Caboclo,203998
Devontae Cacok,1629719
Jason Caffey,679
Michael Cage,262
Jamal Cain,1631288
Gerry Calabrese,76326
Nick Calathes,201979
Jose Calderon,101181
Adrian Caldwell,154
Jim Caldwell,76328
Joe Caldwell,76329
Kentavious Caldwell-Pope,203484
Bill Calhoun,76331
Corky Calhoun,76330
Demetrius Calip,76332
Tom Callahan,76333
Rick Calloway,76334
Ernie Calverley,76335
Mack Calvin,76336
Toumani Camara,1641739
Dexter Cambridge,76337
Marcus Camby,948
Facundo Campazzo,1630267
Elden Campbell,922
Tony Campbell,76338
Isaiah Canaan,203477
Devin Cannady,1629962
Larry Cannon,76339
Clint Capela,203991
Derrick Caracter,202382
Brian Cardinal,2073
Vernon Carey Jr.,1630176
Howie Carl,76340
Chet Carlisle,76341
Geno Carlisle,2367
Rick Carlisle,76342
Al Carlson,76343
Don Carlson,76344
Bob Carney,76345
Rodney Carney,200760
Bob Carpenter,76346
Antoine Carr,156
Austin Carr,76348
Chris Carr,713
Cory Carr,1757
Kenny Carr,76350
M.L. Carr,76351
Bob Carrington,76352
Mike D'Antoni,76505
Pacôme Dadiet,1642359
Ed Dahler,76496
Quintin Dailey,76497
Samuel Dalembert,2223
Howie Dallmar,76498
Erick Dampier,956
Lou Dampier,76499
Bob Dandridge,76500
Antonio Daniels,1498
Dyson Daniels,1630700
Erik Daniels,2845
Lloyd Daniels,1380
Marquis Daniels,2605
Mel Daniels,76502
Troy Daniels,203584
Sasha Danilovic,390
N'Faly Dante,1642368
Adrian Dantley,76504
Henry Darcey,76506
Jimmy Darden,76507
Yinka Dare,212
Jesse Dark,76509
Nate Darling,1630268
Jimmy Darrow,76511
Gigi Datome,203540
Brad Daugherty,921
Kornel David,1600
Jermareo Davidson,201176
Bob Davies,76514
Brandon Davies,203561
Anthony Davis,203076
Antonio Davis,213
Aubrey Davis,76515
Baron Davis,1884
Ben Davis,989
Bill Davis,76538
Bob Davis,76533
Brad Davis,76516
Brian Davis,76517
Charlie Davis,76518
Charlie Davis,76519
Dale Davis,905
Deyonta Davis,1627738
Double D Davis,76521
Ed Davis,202334
Edward Davis,76522
Emanual Davis,1023
Glen Davis,201175
Harry Davis,76523
Ledell Eackles,289
Jim Eakins,76628
Acie Earl,768
Ed Earle,76630
Cleanthony Early,203921
Tari Eason,1631106
Mark Eaton,76631
Jerry Eaves,76632
Devin Ebanks,202365
Bill Ebben,76633
Al Eberhard,76634
Ndudi Ebi,2569
Jaime Echenique,1630693
Jarell Eddie,204067
Patrick Eddie,76635
Thomas Eddleman,76636
Kent Edelin,76637
Zach Edey,1641744
Keith Edmonson,76638
Tyus Edney,721
Anthony Edwards,1630162
Bill Edwards,76646
Blue Edwards,898
Carsen Edwards,1629035
Corsley Edwards,2451
Doug Edwards,346
Franklin Edwards,76641
James Edwards,229
Jay Edwards,76643
Jesse Edwards,1642399
John Edwards,2823
Justin Edwards,1642348
Kessler Edwards,1630556
Kevin Edwards,236
Rob Edwards,1630306
Shane Edwards,202197
Vincent Edwards,1629053
Johnny Egan,76647
Lonnie Eggleston,76648
Eddie Ehlers,76649
Craig Ehlo,378
Dick Eichhorst,76651
Howard Eisley,458
Obinna Ekezie,1918
Khalid El-Amin,2064
Don Eliason,76653
Mario Elie,53
CJ Elleby,1629604
Ray Ellefson,76655
Henry Ellenson,1627740
Joe Fabel,76690
John Fairchild,76691
Tacko Fall,1629605
Phil Farbman,76692
Kenneth Faried,202702
Dick Farley,76693
Jordan Farmar,200770
Desmon Farmer,2824
Jim Farmer,76695
Mike Farmer,76694
Tony Farmer,1108
Bob Faught,76696
Vitor Faverani,203543
Derrick Favors,202324
Nick Fazekas,201174
Dave Fedor,76697
Bob Feerick,76698
Butch Feher,76699
