NBAName,NBAID
Byron Scott,2
Grant Long,3
Dan Schayes,7
Sedale Threatt,9
Chris King,12
Eric Piatkowski,15
Clyde Drexler,17
Greg Anthony,21
Rik Smits,22
Dennis Rodman,23
Keith Jennings,24
Luc Longley,26
Doug West,28
Jim McIlvaine,29
Richard Dumas,30
Lorenzo Williams,31
Clifford Rozier,32
Eric Riley,35
Sarunas Marciulionis,36
Greg Graham,37
Brad Lohaus,38
Anthony Bonner,41
Monty Williams,42
Chris Whitney,43
George McCloud,45
Mike Peplowski,46
Wayman Tisdale,47
Gheorghe Muresan,49
Mahmoud Abdul-Rauf,51
Micheal Williams,52
Mario Elie,53
Dickey Simpkins,54
Marty Conlon,55
Gary Payton,56
Doug Christie,57
Carl Herrera,61
Michael Smith,63
Sam Perkins,64
Greg Minor,65
Marques Bragg,66
Tom Hammonds,67
Steve Kerr,70
Pooh Richardson,71
Kenny Anderson,72
Hot Rod Williams,73
Derrick Phelps,74
Cedric Ceballos,76
Doug Overton,77
LaSalle Thompson,78
Ken Norman,80
Jeff Grayer,81
Bill Wennington,82
Latrell Sprewell,84
Brent Price,85
Dikembe Mutombo,87
Steve Scheffler,88
Nick Van Exel,89
Hubert Davis,93
Mark Bryant,95
Detlef Schrempf,96
Ronnie Grandison,97
Nick Anderson,98
Tim Legler,100
Scott Skiles,101
Todd Day,103
Benoit Benjamin,104
Dan Majerle,105
Dale Ellis,107
Robert Horry,109
LaPhonso Ellis,111
Dontonio Wingfield,112
Harold Miner,114
David Wood,116
Jeff Malone,117
Steven Smith,120
Patrick Ewing,121
Fred Roberts,122
Robert Pack,123
Vlade Divac,124
David Benoit,128
Dino Radja,129
Dwayne Morton,132
David Wesley,133
Kevin Johnson,134
P.J. Brown,136
Vernon Maxwell,137
Anthony Avent,138
Donald Royal,140
Anthony Tucker,141
Terry Dehere,143
Tracy Murray,145
Jud Buechler,146
Jalen Rose,147
Michael Adams,149
Adrian Caldwell,154
Antoine Carr,156
Derek Harper,157
Tim Breaux,160
Chris Childs,164
Hakeem Olajuwon,165
Ron Harper,166
Chris Mills,168
Joe Kleine,170
Keith Askins,173
John Battle,174
Alton Lister,175
Antonio Harvey,176
Muggsy Bogues,177
Olden Polynice,178
Bryant Stith,179
John Crotty,180
Kenny Smith,181
Billy Owens,182
Bison Dele,183
Bobby Phills,184
Chris Webber,185
Terry Cummings,187
B.J. Tyler,189
Duane Causwell,190
Dennis Scott,192
Anthony Mason,193
Anthony Bowie,194
Lee Mayberry,195
Scott Burrell,197
Danny Ferry,198
Reggie Williams,199
Chris Dudley,201
Gary Grant,202
Nate McMillan,203
Jeff Hornacek,204
Sam Cassell,208
Dell Curry,209
Terrell Brandon,210
Eric Mobley,211
Yinka Dare,212
Antonio Davis,213
Brian Shaw,216
Vinny Del Negro,219
Clar. Weatherspoon,221
Bill Curley,223
Eddie Jones,224
Antonio Lang,226
Adam Keefe,228
James Edwards,229
Khalid Reeves,234
Kevin Edwards,236
Tyrone Hill,238
Darrick Martin,239
Brooks Thompson,240
Darrin Hancock,241
Aaron McKie,243
Dee Brown,244
Greg Anderson,246
Joe Dumars,247
George Lynch,248
Sean Elliott,251
Karl Malone,252
Grant Hill,255
Brian Grant,258
Michael Cage,262
Harvey Grant,265
Horace Grant,270
Johnny Newman,271
