Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS
Paolo Banchero,2021-22,Duke,ACC,FR,39,39,33.0,6.3,13.2,.478,5.2,9.8,.525,1.1,3.3,.338,3.5,4.8,.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,,7.26
Chet Holmgren,2021-22,Gonzaga,WCC,FR,32,31,26.9,5.3,8.8,.607,4.0,5.5,.737,1.3,3.3,.390,2.2,3.1,.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,,4.50
Jabari Smith Jr.,2021-22,Auburn,SEC,FR,34,34,28.8,5.4,12.6,.429,3.1,7.0,.435,2.3,5.5,.420,3.9,4.8,.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,,8.17
Keegan Murray,2020-21,Iowa,Big Ten,FR,31,4,18.0,2.7,5.4,.506,2.2,3.6,.607,0.5,1.7,.296,1.3,1.7,.755,1.6,3.5,5.1,0.5,0.8,1.3,0.6,1.9,7.2,,10.43
Keegan Murray,2021-22,Iowa,Big Ten,SO,35,35,31.9,8.8,15.8,.554,6.9,11.1,.621,1.9,4.7,.398,4.1,5.4,.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5,,6.87
Jaden Ivey,2020-21,Purdue,Big Ten,FR,23,12,24.2,3.9,9.7,.399,2.8,5.5,.508,1.1,4.2,.258,2.3,3.2,.726,0.8,2.5,3.3,1.9,0.7,0.7,1.3,1.7,11.1,,11.23
Jaden Ivey,2021-22,Purdue,Big Ten,SO,36,34,31.4,5.6,12.3,.460,3.9,7.3,.531,1.8,5.0,.358,4.3,5.8,.744,0.7,4.2,4.9,3.1,0.9,0.6,2.6,1.8,17.3,,8.23
Bennedict Mathurin,2020-21,Arizona,Pac-12,FR,26,12,25.0,3.4,7.2,.471,1.9,3.7,.521,1.5,3.5,.418,2.5,3.0,.846,1.2,3.5,4.8,1.2,0.7,0.1,1.2,1.7,10.8,,8.18
Bennedict Mathurin,2021-22,Arizona,Pac-12,SO,37,37,32.5,5.9,13.1,.450,3.6,7.0,.521,2.2,6.1,.369,3.7,4.8,.764,1.4,4.2,5.6,2.5,1.0,0.3,1.8,1.8,17.7,,6.84
Jeremy Sochan,2021-22,Baylor,Big 12,FR,30,1,25.1,3.3,7.0,.474,2.5,4.3,.585,0.8,2.7,.296,1.8,3.0,.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,,8.76
Johnny Davis,2020-21,Wisconsin,Big Ten,FR,31,0,24.3,2.8,6.3,.441,2.3,5.1,.453,0.5,1.2,.389,1.0,1.4,.727,1.1,3.0,4.1,1.1,1.1,0.6,1.1,2.1,7.0,,11.93
