game_id,period,player_id,team_id,opponent_team_id,u10_ft_fg2m,u10_ft_fg2a,o10_ft_fg2m,o10_ft_fg2a,fg3m,fg3a,close_def_dist,shot_clock,touch_time,dribble_range
0041600112,1,202681,1610612739,1610612754,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600113,2,202681,1610612739,1610612754,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600113,3,2544,1610612739,1610612754,0,0,0,0,2,2,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600114,2,201952,1610612754,1610612739,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600121,3,202709,1610612761,1610612749,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600123,4,1626153,1610612761,1610612749,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600125,3,1627763,1610612749,1610612761,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600132,1,203471,1610612737,1610612764,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600132,3,203078,1610612764,1610612737,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600132,3,203471,1610612737,1610612764,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600135,1,202322,1610612764,1610612737,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600135,1,203471,1610612737,1610612764,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600141,1,201939,1610612744,1610612757,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600141,3,201939,1610612744,1610612757,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600142,3,201939,1610612744,1610612757,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600142,4,203546,1610612744,1610612757,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600142,4,1626192,1610612757,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600143,1,201939,1610612744,1610612757,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600143,1,203081,1610612757,1610612744,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600143,2,203081,1610612757,1610612744,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600151,2,1626150,1610612763,1610612759,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600151,4,1626150,1610612763,1610612759,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600152,1,2225,1610612759,1610612763,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600154,1,202695,1610612759,1610612763,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600154,2,2225,1610612759,1610612763,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600155,2,202695,1610612759,1610612763,1,1,0,0,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600161,1,201935,1610612745,1610612760,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600164,1,202708,1610612760,1610612745,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600164,4,201566,1610612760,1610612745,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600165,2,203506,1610612760,1610612745,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600173,1,101108,1610612746,1610612762,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600175,4,101108,1610612746,1610612762,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600176,1,203085,1610612746,1610612762,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600177,1,201588,1610612762,1610612746,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600202,4,202322,1610612764,1610612738,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600203,2,202322,1610612764,1610612738,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600205,3,202738,1610612738,1610612764,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600206,1,202738,1610612738,1610612764,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600206,2,1626179,1610612738,1610612764,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600211,2,202709,1610612761,1610612739,0,0,1,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600213,2,1626153,1610612761,1610612739,0,0,0,0,0,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600214,2,202709,1610612761,1610612739,0,0,0,1,0,0,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
0041600214,3,2544,1610612739,1610612761,0,0,0,0,1,1,6+ Feet - Wide Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles
